,"Indian Penal Code, 1860_302","Indian Penal Code, 1860_34",Constitution_14,Constitution_226,Constitution_136,"Indian Penal Code, 1860_304","Indian Penal Code, 1860_149","Indian Penal Code, 1860_120","Indian Penal Code, 1860_307",Constitution_32,"Indian Penal Code, 1860_148",Constitution_21,"Indian Penal Code, 1860_323",Constitution_16,"Indian Penal Code, 1860_147",Constitution_227,Constitution_19,"Indian Penal Code, 1860_324","Indian Penal Code, 1860_498","Indian Penal Code, 1860_420",Constitution_142,"Indian Penal Code, 1860_201","Indian Penal Code, 1860_376",Constitution_309,"Indian Penal Code, 1860_506","Indian Penal Code, 1860_468","Land Acquisition Act, 1894_4","Indian Penal Code, 1860_326","Indian Penal Code, 1860_471","Code of Civil Procedure, 1908_100"
"Indian Penal Code, 1860_302",2455,1125,40,37,148,563,710,329,570,45,579,89,335,2,395,15,22,336,159,29,23,349,114,1,92,20,0,197,23,1
"Indian Penal Code, 1860_34",1125,1490,27,36,98,317,271,226,360,29,218,64,229,2,145,14,16,218,148,89,21,189,80,1,106,49,0,139,44,0
Constitution_14,40,27,1364,295,140,9,14,39,17,242,12,278,11,421,9,49,271,11,8,22,90,13,12,128,12,14,13,12,12,2
Constitution_226,37,36,295,1339,197,15,18,67,27,231,18,156,19,98,22,267,104,17,19,56,89,12,10,47,27,35,27,6,35,5
Constitution_136,148,98,140,197,1134,54,69,75,46,93,57,59,51,43,43,79,44,31,34,45,96,22,47,30,25,28,12,19,28,29
"Indian Penal Code, 1860_304",563,317,9,15,54,847,172,42,143,12,140,22,141,1,111,8,0,123,215,7,15,66,15,0,34,6,0,68,6,1
"Indian Penal Code, 1860_149",710,271,14,18,69,172,803,113,298,19,604,31,246,2,425,10,7,238,13,12,8,63,14,2,63,10,0,135,10,0
"Indian Penal Code, 1860_120",329,226,39,67,75,42,113,777,128,52,100,96,47,1,66,23,26,45,28,264,32,126,32,1,58,182,0,49,173,0
"Indian Penal Code, 1860_307",570,360,17,27,46,143,298,128,749,14,285,37,164,1,201,12,8,215,36,18,9,46,19,0,55,15,0,128,15,0
Constitution_32,45,29,242,231,93,12,19,52,14,705,13,203,14,74,16,41,105,8,18,33,91,14,13,43,20,20,2,6,19,1
"Indian Penal Code, 1860_148",579,218,12,18,57,140,604,100,285,13,663,22,223,1,386,9,6,224,7,11,10,46,14,0,68,8,0,126,8,0
Constitution_21,89,64,278,156,59,22,31,96,37,203,22,657,17,65,17,33,172,19,11,46,65,28,29,23,24,31,4,17,27,1
"Indian Penal Code, 1860_323",335,229,11,19,51,141,246,47,164,14,223,17,509,0,164,9,0,175,36,18,7,18,33,2,102,14,0,77,13,0
Constitution_16,2,2,421,98,43,1,2,1,1,74,1,65,0,502,0,15,42,0,0,2,32,1,0,115,0,1,0,0,2,0
"Indian Penal Code, 1860_147",395,145,9,22,43,111,425,66,201,16,386,17,164,0,482,13,4,157,12,10,6,38,7,2,58,7,0,82,8,0
Constitution_227,15,14,49,267,79,8,10,23,12,41,9,33,9,15,13,457,18,8,12,17,26,5,3,7,13,13,2,2,10,5
Constitution_19,22,16,271,104,44,0,7,26,8,105,6,172,0,42,4,18,453,4,0,13,34,9,6,13,5,7,7,3,7,1
"Indian Penal Code, 1860_324",336,218,11,17,31,123,238,45,215,8,224,19,175,0,157,8,4,449,11,7,9,23,14,0,52,4,0,151,3,0
"Indian Penal Code, 1860_498",159,148,8,19,34,215,13,28,36,18,7,11,36,0,12,12,0,11,446,22,17,41,15,2,38,12,0,8,11,2
"Indian Penal Code, 1860_420",29,89,22,56,45,7,12,264,18,33,11,46,18,2,10,17,13,7,22,441,23,25,10,2,33,222,0,9,202,0
Constitution_142,23,21,90,89,96,15,8,32,9,91,10,65,7,32,6,26,34,9,17,23,422,7,7,25,5,17,6,8,15,9
"Indian Penal Code, 1860_201",349,189,13,12,22,66,63,126,46,14,46,28,18,1,38,5,9,23,41,25,7,403,38,0,17,18,0,22,21,0
"Indian Penal Code, 1860_376",114,80,12,10,47,15,14,32,19,13,14,29,33,0,7,3,6,14,15,10,7,38,382,0,53,7,0,12,7,0
Constitution_309,1,1,128,47,30,0,2,1,0,43,0,23,2,115,2,7,13,0,2,2,25,0,0,325,2,0,0,0,0,1
"Indian Penal Code, 1860_506",92,106,12,27,25,34,63,58,55,20,68,24,102,0,58,13,5,52,38,33,5,17,53,2,278,22,0,27,18,0
"Indian Penal Code, 1860_468",20,49,14,35,28,6,10,182,15,20,8,31,14,1,7,13,7,4,12,222,17,18,7,0,22,269,1,6,218,0
"Land Acquisition Act, 1894_4",0,0,13,27,12,0,0,0,0,2,0,4,0,0,0,2,7,0,0,0,6,0,0,0,0,1,265,0,1,0
"Indian Penal Code, 1860_326",197,139,12,6,19,68,135,49,128,6,126,17,77,0,82,2,3,151,8,9,8,22,12,0,27,6,0,260,6,0
"Indian Penal Code, 1860_471",23,44,12,35,28,6,10,173,15,19,8,27,13,2,8,10,7,3,11,202,15,21,7,0,18,218,1,6,255,0
"Code of Civil Procedure, 1908_100",1,0,2,5,29,1,0,0,0,1,0,1,0,0,0,5,1,0,2,0,9,0,0,1,0,0,0,0,0,254
