,"Indian Penal Code, 1860_302","Indian Penal Code, 1860_34",Constitution_14,Constitution_226,Constitution_136,"Indian Penal Code, 1860_304","Indian Penal Code, 1860_149","Indian Penal Code, 1860_120","Indian Penal Code, 1860_307",Constitution_32,"Indian Penal Code, 1860_148",Constitution_21,"Indian Penal Code, 1860_323",Constitution_16,"Indian Penal Code, 1860_147",Constitution_227,Constitution_19,"Indian Penal Code, 1860_324","Indian Penal Code, 1860_498","Indian Penal Code, 1860_420",Constitution_142,"Indian Penal Code, 1860_201","Indian Penal Code, 1860_376",Constitution_309,"Indian Penal Code, 1860_506","Indian Penal Code, 1860_468","Land Acquisition Act, 1894_4","Indian Penal Code, 1860_326","Indian Penal Code, 1860_471","Code of Civil Procedure, 1908_100"
"Indian Penal Code, 1860_302",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_34",0.7550335570469798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_14,0.02932551319648094,0.019794721407624633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_226,0.027632561613144136,0.0268857356235997,0.22031366691560866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_136,0.13051146384479717,0.08641975308641975,0.12345679012345678,0.17372134038800705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_304",0.6646989374262101,0.3742621015348288,0.010625737898465172,0.01770956316410862,0.06375442739079103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_149",0.8841843088418431,0.33748443337484435,0.017434620174346202,0.0224159402241594,0.0859277708592777,0.21419676214196762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_120",0.42342342342342343,0.2908622908622909,0.05019305019305019,0.08622908622908623,0.09652509652509653,0.05405405405405406,0.14543114543114544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_307",0.7610146862483311,0.48064085447263016,0.022696929238985315,0.036048064085447265,0.06141522029372497,0.1909212283044059,0.3978638184245661,0.17089452603471295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_32,0.06382978723404255,0.04113475177304964,0.3432624113475177,0.3276595744680851,0.13191489361702127,0.01702127659574468,0.02695035460992908,0.07375886524822695,0.019858156028368795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_148",0.8733031674208145,0.3288084464555053,0.01809954751131222,0.027149321266968326,0.08597285067873303,0.21116138763197587,0.9110105580693816,0.15082956259426847,0.4298642533936652,0.0196078431372549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_21,0.1354642313546423,0.0974124809741248,0.4231354642313546,0.2374429223744292,0.0898021308980213,0.0334855403348554,0.0471841704718417,0.1461187214611872,0.0563165905631659,0.3089802130898021,0.0334855403348554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_323",0.6581532416502947,0.449901768172888,0.021611001964636542,0.03732809430255403,0.10019646365422397,0.2770137524557957,0.48330058939096265,0.09233791748526522,0.32220039292730845,0.0275049115913556,0.4381139489194499,0.03339882121807466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_16,0.00398406374501992,0.00398406374501992,0.8386454183266933,0.1952191235059761,0.08565737051792828,0.00199203187250996,0.00398406374501992,0.00199203187250996,0.00199203187250996,0.14741035856573706,0.00199203187250996,0.1294820717131474,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_147",0.8195020746887967,0.3008298755186722,0.01867219917012448,0.04564315352697095,0.08921161825726141,0.23029045643153526,0.8817427385892116,0.13692946058091288,0.4170124481327801,0.03319502074688797,0.8008298755186722,0.035269709543568464,0.34024896265560167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_227,0.03282275711159737,0.030634573304157548,0.10722100656455143,0.5842450765864332,0.17286652078774617,0.0175054704595186,0.02188183807439825,0.05032822757111598,0.0262582056892779,0.08971553610503283,0.019693654266958426,0.07221006564551423,0.019693654266958426,0.03282275711159737,0.028446389496717725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_19,0.04856512141280353,0.03532008830022075,0.5982339955849889,0.22958057395143489,0.09713024282560706,0.0,0.01545253863134658,0.05739514348785872,0.017660044150110375,0.23178807947019867,0.013245033112582781,0.37969094922737306,0.0,0.09271523178807947,0.008830022075055188,0.039735099337748346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_324",0.7483296213808464,0.48552338530066813,0.024498886414253896,0.0378619153674833,0.06904231625835189,0.2739420935412027,0.5300668151447662,0.10022271714922049,0.47884187082405344,0.017817371937639197,0.49888641425389757,0.042316258351893093,0.3897550111358575,0.0,0.34966592427616927,0.017817371937639197,0.008908685968819599,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_498",0.35650224215246634,0.33183856502242154,0.017937219730941704,0.042600896860986545,0.07623318385650224,0.4820627802690583,0.02914798206278027,0.06278026905829596,0.08071748878923767,0.04035874439461883,0.01569506726457399,0.02466367713004484,0.08071748878923767,0.0,0.026905829596412557,0.026905829596412557,0.0,0.02466367713004484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_420",0.06575963718820861,0.2018140589569161,0.049886621315192746,0.12698412698412698,0.10204081632653061,0.015873015873015872,0.027210884353741496,0.5986394557823129,0.04081632653061224,0.07482993197278912,0.024943310657596373,0.10430839002267574,0.04081632653061224,0.0045351473922902496,0.022675736961451247,0.03854875283446712,0.02947845804988662,0.015873015873015872,0.049886621315192746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_142,0.054502369668246446,0.04976303317535545,0.2132701421800948,0.2109004739336493,0.22748815165876776,0.035545023696682464,0.018957345971563982,0.07582938388625593,0.02132701421800948,0.2156398104265403,0.023696682464454975,0.15402843601895735,0.016587677725118485,0.07582938388625593,0.014218009478672985,0.061611374407582936,0.08056872037914692,0.02132701421800948,0.04028436018957346,0.054502369668246446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_201",0.8660049627791563,0.46898263027295284,0.03225806451612903,0.02977667493796526,0.05459057071960298,0.16377171215880892,0.15632754342431762,0.31265508684863524,0.1141439205955335,0.034739454094292806,0.1141439205955335,0.06947890818858561,0.04466501240694789,0.0024813895781637717,0.09429280397022333,0.01240694789081886,0.022332506203473945,0.05707196029776675,0.10173697270471464,0.062034739454094295,0.017369727047146403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_376",0.29842931937172773,0.2094240837696335,0.031413612565445025,0.02617801047120419,0.12303664921465969,0.03926701570680628,0.03664921465968586,0.08376963350785341,0.049738219895287955,0.034031413612565446,0.03664921465968586,0.07591623036649214,0.08638743455497382,0.0,0.01832460732984293,0.007853403141361256,0.015706806282722512,0.03664921465968586,0.03926701570680628,0.02617801047120419,0.01832460732984293,0.09947643979057591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constitution_309,0.003076923076923077,0.003076923076923077,0.39384615384615385,0.14461538461538462,0.09230769230769231,0.0,0.006153846153846154,0.003076923076923077,0.0,0.13230769230769232,0.0,0.07076923076923076,0.006153846153846154,0.35384615384615387,0.006153846153846154,0.021538461538461538,0.04,0.0,0.006153846153846154,0.006153846153846154,0.07692307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indian Penal Code, 1860_506",0.33093525179856115,0.381294964028777,0.04316546762589928,0.09712230215827339,0.08992805755395683,0.1223021582733813,0.22661870503597123,0.20863309352517986,0.19784172661870503,0.07194244604316546,0.2446043165467626,0.08633093525179857,0.3669064748201439,0.0,0.20863309352517986,0.046762589928057555,0.017985611510791366,0.18705035971223022,0.1366906474820144,0.11870503597122302,0.017985611510791366,0.06115107913669065,0.1906474820143885,0.007194244604316547,1.0,0.0,0.0,0.0,0.0,0.0
