,"Indian Penal Code, 1860_302","Indian Penal Code, 1860_34",Constitution_14,Constitution_226,Constitution_136,"Indian Penal Code, 1860_304","Indian Penal Code, 1860_149","Indian Penal Code, 1860_120","Indian Penal Code, 1860_307",Constitution_32,"Indian Penal Code, 1860_148",Constitution_21,"Indian Penal Code, 1860_323",Constitution_16,"Indian Penal Code, 1860_147",Constitution_227,Constitution_19,"Indian Penal Code, 1860_324","Indian Penal Code, 1860_498","Indian Penal Code, 1860_420",Constitution_142,"Indian Penal Code, 1860_201","Indian Penal Code, 1860_376",Constitution_309,"Indian Penal Code, 1860_506","Indian Penal Code, 1860_468","Land Acquisition Act, 1894_4","Indian Penal Code, 1860_326","Indian Penal Code, 1860_471","Code of Civil Procedure, 1908_100"
"Indian Penal Code, 1860_302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_34",1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitution_14,40,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitution_226,37,36,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitution_136,148,98,140,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_304",563,317,9,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_149",710,271,14,18,69,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_120",329,226,39,67,75,42,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_307",570,360,17,27,46,143,298,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitution_32,45,29,242,231,93,12,19,52,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_148",579,218,12,18,57,140,604,100,285,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitution_21,89,64,278,156,59,22,31,96,37,203,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_323",335,229,11,19,51,141,246,47,164,14,223,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitution_16,2,2,421,98,43,1,2,1,1,74,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_147",395,145,9,22,43,111,425,66,201,16,386,17,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitution_227,15,14,49,267,79,8,10,23,12,41,9,33,9,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constitution_19,22,16,271,104,44,0,7,26,8,105,6,172,0,42,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_324",336,218,11,17,31,123,238,45,215,8,224,19,175,0,157,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_498",159,148,8,19,34,215,13,28,36,18,7,11,36,0,12,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_420",29,89,22,56,45,7,12,264,18,33,11,46,18,2,10,17,13,7,22,0,0,0,0,0,0,0,0,0,0,0
Constitution_142,23,21,90,89,96,15,8,32,9,91,10,65,7,32,6,26,34,9,17,23,0,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_201",349,189,13,12,22,66,63,126,46,14,46,28,18,1,38,5,9,23,41,25,7,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_376",114,80,12,10,47,15,14,32,19,13,14,29,33,0,7,3,6,14,15,10,7,38,0,0,0,0,0,0,0,0
Constitution_309,1,1,128,47,30,0,2,1,0,43,0,23,2,115,2,7,13,0,2,2,25,0,0,0,0,0,0,0,0,0
"Indian Penal Code, 1860_506",92,106,12,27,25,34,63,58,55,20,68,24,102,0,58,13,5,52,38,33,5,17,53,2,0,0,0,0,0,0
"Indian Penal Code, 1860_468",20,49,14,35,28,6,10,182,15,20,8,31,14,1,7,13,7,4,12,222,17,18,7,0,22,0,0,0,0,0
"Land Acquisition Act, 1894_4",0,0,13,27,12,0,0,0,0,2,0,4,0,0,0,2,7,0,0,0,6,0,0,0,0,1,0,0,0,0
"Indian Penal Code, 1860_326",197,139,12,6,19,68,135,49,128,6,126,17,77,0,82,2,3,151,8,9,8,22,12,0,27,6,0,0,0,0
"Indian Penal Code, 1860_471",23,44,12,35,28,6,10,173,15,19,8,27,13,2,8,10,7,3,11,202,15,21,7,0,18,218,1,6,0,0
"Code of Civil Procedure, 1908_100",1,0,2,5,29,1,0,0,0,1,0,1,0,0,0,5,1,0,2,0,9,0,0,1,0,0,0,0,0,0
